Total Timesteps: 2860	 Episode Num: 10	 Reward: -598
Total Timesteps: 2870	 Episode Num: 10	 Reward: -648
Total Timesteps: 2880	 Episode Num: 10	 Reward: -698
Total Timesteps: 2890	 Episode Num: 10	 Reward: -720
Total Timesteps: 2900	 Episode Num: 10	 Reward: -721
Total Timesteps: 2910	 Episode Num: 10	 Reward: -771
Total Timesteps: 2920	 Episode Num: 10	 Reward: -821
Total Timesteps: 2930	 Episode Num: 10	 Reward: -871
Total Timesteps: 2940	 Episode Num: 10	 Reward: -921
Total Timesteps: 2950	 Episode Num: 10	 Reward: -971
Total Timesteps: 2960	 Episode Num: 10	 Reward: -1021
Total Timesteps: 2970	 Episode Num: 10	 Reward: -1071
Total Timesteps: 2980	 Episode Num: 10	 Reward: -1121
Total Timesteps: 2990	 Episode Num: 10	 Reward: -1171
Total Timesteps: 3000	 Episode Num: 10	 Reward: -1221
Total Timesteps: 3010	 Episode Num: 10	 Reward: -1271
Total Timesteps: 3020	 Episode Num: 10	 Reward: -1321
Total Timesteps: 3030	 Episode Num: 10	 Reward: -1371
Total Timesteps: 3040	 Episode Num: 10	 Reward: -1421
Total Timesteps: 3050	 Episode Num: 10	 Reward: -1471
Total Timesteps: 3060	 Episode Num: 10	 Reward: -1521
Total Timesteps: 3070	 Episode Num: 10	 Reward: -1571
Total Timesteps: 3080	 Episode Num: 10	 Reward: -1621
Total Timesteps: 3090	 Episode Num: 10	 Reward: -1671
Total Timesteps: 3100	 Episode Num: 10	 Reward: -1721
Total Timesteps: 3110	 Episode Num: 10	 Reward: -1771
Total Timesteps: 3120	 Episode Num: 10	 Reward: -1821
Total Timesteps: 3130	 Episode Num: 10	 Reward: -1871
Total Timesteps: 3140	 Episode Num: 10	 Reward: -1921
Total Timesteps: 3150	 Episode Num: 10	 Reward: -1971
Total Timesteps: 3160	 Episode Num: 10	 Reward: -2021
Total Timesteps: 3170	 Episode Num: 10	 Reward: -2071
Total Timesteps: 3180	 Episode Num: 10	 Reward: -2121
Total Timesteps: 3190	 Episode Num: 10	 Reward: -2171
Total Timesteps: 3200	 Episode Num: 10	 Reward: -2221
Total Timesteps: 3210	 Episode Num: 10	 Reward: -2271
Total Timesteps: 3220	 Episode Num: 11	 Reward: -40
Total Timesteps: 3230	 Episode Num: 11	 Reward: -90
Total Timesteps: 3240	 Episode Num: 11	 Reward: -140
Total Timesteps: 3250	 Episode Num: 11	 Reward: -190
Total Timesteps: 3260	 Episode Num: 11	 Reward: -240
Total Timesteps: 3270	 Episode Num: 11	 Reward: -290
Total Timesteps: 3280	 Episode Num: 11	 Reward: -340
Total Timesteps: 3290	 Episode Num: 11	 Reward: -390
Total Timesteps: 3300	 Episode Num: 11	 Reward: -440
Total Timesteps: 3310	 Episode Num: 11	 Reward: -490
Total Timesteps: 3320	 Episode Num: 11	 Reward: -540
Total Timesteps: 3330	 Episode Num: 11	 Reward: -590
Total Timesteps: 3340	 Episode Num: 11	 Reward: -640
Total Timesteps: 3350	 Episode Num: 11	 Reward: -690
Total Timesteps: 3360	 Episode Num: 11	 Reward: -740
Total Timesteps: 3370	 Episode Num: 11	 Reward: -790
